"biom_desc","circn","coordinates","gene","hallm","mm9_circ","prob_coding","refseqid","spliced_length","strand","HA_tr_2","X03_697_tr_2","X1R_tr_2","X3R_tr_2"
"WD_repeat_domain_47_","hsa_circ_0013406","chr1:109544845-109554340","WDR47","_KRAS_SIGNALING_UP","none","0.999799423532933","NM_001142550","nA","+",0,0,0,0.103986654214149
"WD_repeat_domain_47_","hsa_circ_0013408","chr1:109553537-109554340","WDR47","_PI3K_AKT_MTOR_SIGNALING","none","0.988935001667102","NM_001142550","nA","+",0,0,0.24366938807469,0
"seryl-tRNA_synthetase_","hsa_circ_0007868","chr1:109773499-109774408","SARS","_PI3K_AKT_MTOR_SIGNALING","none","0.811954804067536","NM_006513","nA","+",0,0,0.32489251743292,0
"exosome_component_10_","hsa_circ_0009759","chr1:11130956-11137005","EXOSC10","_UNFOLDED_PROTEIN_RESPONSE","none","0.667511331029115","NM_001001998","nA","+",0,0,0.16244625871646,0.138648872285532
"exosome_component_10_","hsa_circ_0002448","chr1:11133990-11137005","EXOSC10","_UNFOLDED_PROTEIN_RESPONSE","none","0.0262924431141058","NM_001001998","nA","+",0.0762211621044236,0,0.16244625871646,0.138648872285532
"CD53_molecule_","hsa_circ_0000105","chr1:111434013-111435155","CD53","_PI3K_AKT_MTOR_SIGNALING","none","0.659097542118753","NM_001040033","nA","-",0,0,0.48733877614938,0.0693244361427662
"mechanistic_target_of_rapamycin_kinase_","hsa_circ_0009792","chr1:11181302-11182183","MTOR","_SPERMATOGENESIS","none","0.767591245260862","NM_004958","nA","-",0,0,0.16244625871646,0.242635526499682
"mechanistic_target_of_rapamycin_kinase_","hsa_circ_0006576","chr1:11184554-11193254","MTOR","_SPERMATOGENESIS","none","0.999998202516926","NM_004958","nA","+",0,0,0.40611564679115,0
"capping_actin_protein_of_muscle_Z-line_subunit_alpha_1_","hsa_circ_0000109","chr1:113196219-113202401","CAPZA1","_PI3K_AKT_MTOR_SIGNALING","none","0.660319270397071","NM_006135","nA","+",0.114331743156635,0,2.4366938807469,0.242635526499682
"leucine_rich_repeats_and_immunoglobulin_like_domains_2_","hsa_circ_0013584","chr1:113655100-113662145","LRIG2","_INTERFERON_ALPHA_RESPONSE","none","0.999954276429396","NM_014813","nA","-",0,0,0,0.0693244361427662
"membrane_associated_guanylate_kinase__WW_and_PDZ_domain_containing_3_","hsa_circ_0006583","chr1:114214355-114216087","MAGI3","_INTERFERON_ALPHA_RESPONSE","none","0.649844828369781","NM_001142782","nA","-",0,0,0,0.103986654214149
"round_spermatid_basic_protein_1_","hsa_circ_0013607","chr1:114319831-114320430","RSBN1","_INTERFERON_ALPHA_RESPONSE","none","0.112538666261747","NM_018364","nA","+",0,0,0,0.103986654214149
"protein_tyrosine_phosphatase__non-receptor_type_22_","hsa_circ_0000110","chr1:114372213-114377061","PTPN22","_PI3K_AKT_MTOR_SIGNALING","none","0.0293596619301111","NM_001193431","nA","+",0,0,0.16244625871646,0.207973308428299
"DNA_cross-link_repair_1B_","hsa_circ_0013615","chr1:114450630-114450813","DCLRE1B","_E2F_TARGETS","none","0.288626071215605","NM_022836","nA","-",0,0,0.16244625871646,0
"tripartite_motif_containing_33_","hsa_circ_0004127","chr1:115005725-115007010","TRIM33","_TGF_BETA_SIGNALING","none","0.0430308972107742","NM_015906","nA","-",0.114331743156635,0.157782379179458,0.64978503486584,0.242635526499682
"cold_shock_domain_containing_E1_","hsa_circ_0013644","chr1:115262199-115263338","CSDE1","_E2F_TARGETS","none","0.882805094886222","NM_001007553","nA","+",0,0,0.16244625871646,0
"stromal_cell_derived_factor_4_","hsa_circ_0000002","chr1:1158623-1159348","SDF4","_HEME_METABOLISM","none","0.941839107855995","NM_016176","nA","+",0.114331743156635,0,0.24366938807469,0
"dorsal_inhibitory_axon_guidance_protein_","unknown","chr1:11771907-11775265","DRAXIN","_SPERMATOGENESIS","none","nA","NM_198545","nA","-",0,0,0,0.103986654214149
"mannosidase_alpha_class_1A_member_2_","hsa_circ_0000116","chr1:117944807-117948267","MAN1A2","_INTERFERON_ALPHA_RESPONSE","none","0.0625683246179555","NM_006699","nA","-",0.152442324208847,0,0,0.0693244361427662
"mannosidase_alpha_class_1A_member_2_","hsa_circ_0000118","chr1:117944807-117963271","MAN1A2","_TGF_BETA_SIGNALING","none","0.623058587216633","NM_006699","nA","+",1.90552905261059,1.15707078064936,0.56856190550761,0.727906579499045
"mannosidase_alpha_class_1A_member_2_","hsa_circ_0000119","chr1:117944807-117984947","MAN1A2","_TGF_BETA_SIGNALING","none","0.817308737951065","NM_006699","nA","+",0.41921639157433,0.368158884752069,0.24366938807469,0.138648872285532
"mannosidase_alpha_class_1A_member_2_","hsa_circ_0013743","chr1:117984852-118009049","MAN1A2","_E2F_TARGETS","none","0.0931217790372273","NM_006699","nA","-",0.0762211621044236,0,0.24366938807469,0
"mannosidase_alpha_class_1A_member_2_","hsa_circ_0002059","chr1:118003110-118045592","MAN1A2","_E2F_TARGETS","none","0.987381756321924","NM_006699","nA","-",0,0,0.32489251743292,0
"ganglioside_induced_differentiation_associated_protein_2_","hsa_circ_0006188","chr1:118454615-118461358","GDAP2","_TGF_BETA_SIGNALING","none","0.198792223691316","NM_017686","nA","+",0,0.105188252786305,0.24366938807469,0.207973308428299
"ubiquitin_conjugating_enzyme_E2_J2_","hsa_circ_0009246","chr1:1191424-1203372","UBE2J2","_APICAL_JUNCTION","none","0.510841613242105","NM_058167","nA","-",0,0,0,0.103986654214149
"ubiquitin_conjugating_enzyme_E2_J2_","hsa_circ_0008063","chr1:1192371-1192690","UBE2J2","_HEME_METABOLISM","none","0.647864702311513","NM_058167","nA","+",0.114331743156635,0,0.48733877614938,0.207973308428299
"procollagen-lysine_2-oxoglutarate_5-dioxygenase_1_","hsa_circ_0009879","chr1:12008032-12010577","PLOD1","_EPITHELIAL_MESENCHYMAL_TRANSITION","none","0.0142048375647488","NM_000302","nA","-",0,0,0,0.103986654214149
"mitofusin_2_","hsa_circ_0009910","chr1:12049221-12052747","MFN2","_OXIDATIVE_PHOSPHORYLATION","none","0.91478704854981","NM_001127660","nA","+",0,0,0,0.103986654214149
"mitofusin_2_","hsa_circ_0006470","chr1:12061457-12062160","MFN2","_OXIDATIVE_PHOSPHORYLATION","none","0.958654098437208","NM_001127660","nA","-",0,0,0,0.207973308428299
"PR/SET_domain_2_","hsa_circ_0010028","chr1:14042035-14068652","PRDM2","_UV_RESPONSE_DN","none","0.67202528014807","NM_001135610","nA","-",0,0,0.16244625871646,0.0693244361427662
"PR/SET_domain_2_","unknown","chr1:14042035-14075982","PRDM2","_UV_RESPONSE_DN","none","nA","NM_001135610","nA","-",0,0,0,0.103986654214149
"PR/SET_domain_2_","hsa_circ_0005986","chr1:14057494-14068652","PRDM2","_UV_RESPONSE_DN","none","0.0235170082208544","NM_001135610","nA","-",0,0.105188252786305,0.48733877614938,0.55459548914213
"PR/SET_domain_2_","hsa_circ_0004861","chr1:14057494-14075982","PRDM2","_UV_RESPONSE_DN","none","0.312648860113933","NM_001135610","nA","-",0,0,0.16244625871646,0.173311090356915
"SEC22_homolog_B__vesicle_trafficking_protein_(gene/pseudogene)_","unknown","chr1:145109523-145112519","SEC22B","_PROTEIN_SECRETION","none","nA","NM_004892","nA","-",0,0,0.16244625871646,0
"RNA_polymerase_III_subunit_C_","hsa_circ_0003693","chr1:145594038-145595220","POLR3C","_DNA_REPAIR","none","0.432623477928031","NM_006468","nA","+",0,0,1.05590068165699,0.277297744571065
"chromodomain_helicase_DNA_binding_protein_1_like_","hsa_circ_0004220","chr1:146724277-146731572","CHD1L","_DNA_REPAIR","none","0.16358688247068","NM_001256336","nA","+",0.152442324208847,0,1.6244625871646,0.381284398785214
"acidic_nuclear_phosphoprotein_32_family_member_E_","hsa_circ_0004300","chr1:150202905-150204264","ANP32E","_E2F_TARGETS","none","0.107658837180705","NM_001136479","nA","+",0,0,0.48733877614938,0.242635526499682
"threonyl-tRNA_synthetase_2__mitochondrial_","hsa_circ_0003952","chr1:150464886-150469384","TARS2","_E2F_TARGETS","none","0.0342804528748436","NM_001271895","nA","-",0,0,1.46201632844814,0.589257707213513
"threonyl-tRNA_synthetase_2__mitochondrial_","hsa_circ_0014022","chr1:150464886-150470223","TARS2","_E2F_TARGETS","none","0.0338869332958324","NM_001271895","nA","-",0,0,0.48733877614938,0
"threonyl-tRNA_synthetase_2__mitochondrial_","hsa_circ_0014027","chr1:150470977-150471769","TARS2","_E2F_TARGETS","none","0.806202297070615","NM_001271895","nA","-",0,0,0.16244625871646,0
"SET_domain_bifurcated_1_","hsa_circ_0014063","chr1:150921597-150922001","SETDB1","_E2F_TARGETS","none","0.00986561156622238","NM_001145415","nA","-",0,0,0.24366938807469,0
"prune_exopolyphosphatase_1_","hsa_circ_0006760","chr1:150997086-150998149","PRUNE1","_TGF_BETA_SIGNALING","none","0.115856351568347","NM_021222","nA","-",0,0.105188252786305,1.6244625871646,0.381284398785214
"prune_exopolyphosphatase_1_","hsa_circ_0000126","chr1:150997086-150999803","PRUNE1","_E2F_TARGETS","none","0.384571878788441","NM_021222","nA","+",0,0,0.40611564679115,0.173311090356915
"prune_exopolyphosphatase_1_","hsa_circ_0014088","chr1:150999708-151001420","PRUNE1","_E2F_TARGETS","none","0.442568166251662","NM_021222","nA","-",0,0,0.16244625871646,0.173311090356915
"GA_binding_protein_transcription_factor_subunit_beta_2_","unknown","chr1:151060665-151079698","GABPB2","_INTERFERON_ALPHA_RESPONSE","none","nA","NM_144618","nA","-",0,0,0,0.103986654214149
"LysM_domain_containing_1_","hsa_circ_0014105","chr1:151134211-151134576","LYSMD1","_E2F_TARGETS","none","0.899040115762752","NM_212551","nA","-",0,0,0.24366938807469,0
"sodium_channel_modifier_1_","hsa_circ_0000128","chr1:151139409-151139890","SCNM1","_E2F_TARGETS","none","0.42281010204521","NM_001204848","nA","+",0,0,0.731008164224071,0
"vacuolar_protein_sorting_72_homolog_","unknown","chr1:151150476-151156969","VPS72","_E2F_TARGETS","none","nA","NM_001271087","nA","-",0,0,0.16244625871646,0.0693244361427662
"phosphatidylinositol_4-kinase_beta_","hsa_circ_0006892","chr1:151288048-151288985","PI4KB","_E2F_TARGETS","none","0.999713019211487","NM_001198773","nA","-",0,0,1.05590068165699,0.103986654214149
"pogo_transposable_element_derived_with_ZNF_domain_","hsa_circ_0008704","chr1:151400298-151403317","POGZ","_E2F_TARGETS","none","0.99529236113002","NM_207171","nA","+",0,0,0.48733877614938,0.0693244361427662
"pogo_transposable_element_derived_with_ZNF_domain_","hsa_circ_0002520","chr1:151400298-151414681","POGZ","_E2F_TARGETS","none","0.99993308319757","NM_207171","nA","-",0,0,0.24366938807469,0.173311090356915
"sorting_nexin_family_member_27_","hsa_circ_0000130","chr1:151611363-151611595","SNX27","_E2F_TARGETS","none","0.0239041662544773","NM_030918","nA","-",0,0,0.40611564679115,0.103986654214149
"sorting_nexin_family_member_27_","hsa_circ_0000131","chr1:151611363-151641111","SNX27","_E2F_TARGETS","none","0.930404563727519","NM_030918","nA","-",0,0,0.16244625871646,0.0693244361427662
"sorting_nexin_family_member_27_","hsa_circ_0002394","chr1:151630710-151641111","SNX27","_E2F_TARGETS","none","0.931223767220148","NM_030918","nA","-",0,0,0.16244625871646,0
"interleukin_enhancer_binding_factor_2_","hsa_circ_0000133","chr1:153637695-153641033","ILF2","_MYC_TARGETS_V1","none","0.947515126567602","NM_001267809","nA","+",0,0,0.974677552298761,0.311959962642448
"interleukin_enhancer_binding_factor_2_","unknown","chr1:153640030-153641033","ILF2","_MYC_TARGETS_V1","none","nA","NM_001267809","nA","+",0,0,0.32489251743292,0.103986654214149
"GATA_zinc_finger_domain_containing_2B_","unknown","chr1:153784206-153785928","GATAD2B","_MYC_TARGETS_V1","none","nA","NM_020699","nA","+",0,0,1.05590068165699,0.242635526499682
"ubiquitin_associated_protein_2_like_","unknown","chr1:154207066-154207767","UBAP2L","_INTERFERON_ALPHA_RESPONSE","none","nA","NM_001127320","nA","-",0,0,0,0.0693244361427662
"ubiquitin_associated_protein_2_like_","hsa_circ_0004717","chr1:154223516-154224129","UBAP2L","_MYOGENESIS","none","0.747151691405743","NM_001127320","nA","+",0,0,1.13712381101522,0.485271052999363
"ubiquitin_associated_protein_2_like_","hsa_circ_0014414","chr1:154233367-154239044","UBAP2L","_MYOGENESIS","none","0.108938425944521","NM_001127320","nA","-",0,0,0.24366938807469,0.0693244361427662
"adenosine_deaminase__RNA_specific_","hsa_circ_0005423","chr1:154561026-154569743","ADAR","_INTERFERON_ALPHA_RESPONSE","none","0.99953530965177","NM_001193495","nA","+",0.0762211621044236,0,0.16244625871646,0.207973308428299
"glucosylceramidase_beta_","hsa_circ_0014507","chr1:155209406-155209868","GBA","_INTERFERON_ALPHA_RESPONSE","none","0.510387589649738","NM_001171812","nA","+",0,0,0.16244625871646,0
"microRNA_555_","hsa_circ_0014558","chr1:155316173-155317695","MIR555","_INTERFERON_ALPHA_RESPONSE","none","0.15867937517255","NR_030282","nA","+",0,0,0,0.0693244361427662
"ASH1_like_histone_lysine_methyltransferase_","hsa_circ_0007608","chr1:155340294-155340774","ASH1L","_TGF_BETA_SIGNALING","none","0.493156947828359","NM_018489","nA","+",0,0.105188252786305,0.16244625871646,0
"ASH1_like_histone_lysine_methyltransferase_","hsa_circ_0014577","chr1:155340294-155365344","ASH1L","_INTERFERON_ALPHA_RESPONSE","none","0.488717102741109","NM_018489","nA","-",0,0,0.16244625871646,0.0693244361427662
"ASH1_like_histone_lysine_methyltransferase_","unknown","chr1:155348071-155349907","ASH1L","_INTERFERON_ALPHA_RESPONSE","none","nA","NM_018489","nA","+",0,0,0,0.103986654214149
"ASH1_like_histone_lysine_methyltransferase_","hsa_circ_0014583","chr1:155365249-155385714","ASH1L","_INTERFERON_ALPHA_RESPONSE","none","0.0797541548936837","NM_018489","nA","-",0,0,0.24366938807469,0
"POU_class_5_homeobox_1_pseudogene_4_","hsa_circ_0014585","chr1:155385534-155408859","POU5F1P4","_INTERFERON_ALPHA_RESPONSE","none","0.996830393575313","NR_034180","nA","+",0,0,0.16244625871646,0
"POU_class_5_homeobox_1_pseudogene_4_","hsa_circ_0014586","chr1:155385534-155429689","POU5F1P4","_INTERFERON_ALPHA_RESPONSE","none","0.996812673626873","NR_034180","nA","+",0,0,0,0.138648872285532
"ASH1_like_histone_lysine_methyltransferase_","hsa_circ_0000137","chr1:155408117-155408859","ASH1L","_INTERFERON_ALPHA_RESPONSE","none","0.970815670662716","NM_018489","nA","-",0.190552905261059,0,2.03057823395575,0.415946616856597
"ASH1_like_histone_lysine_methyltransferase_","hsa_circ_0003247","chr1:155408117-155429689","ASH1L","_TGF_BETA_SIGNALING","none","0.970656794412605","NM_018489","nA","+",0.152442324208847,0.105188252786305,3.08647891561274,0.866555451784577
"YY1_associated_protein_1_","hsa_circ_0003608","chr1:155644800-155649303","YY1AP1","_INTERFERON_ALPHA_RESPONSE","none","0.609397936606512","NM_001198899","nA","+",0.114331743156635,0,2.11180136331398,0.866555451784577
"death_associated_protein_3_","hsa_circ_0014613","chr1:155691307-155695810","DAP3","_APOPTOSIS","none","0.0700882847749715","NM_001199849","nA","-",0,0,0.812231293582301,0.207973308428299
"death_associated_protein_3_","hsa_circ_0014614","chr1:155695172-155695810","DAP3","_APOPTOSIS","none","0.0318717796156493","NM_001199849","nA","-",0,0,0.893454422940531,0.138648872285532
"death_associated_protein_3_","hsa_circ_0014615","chr1:155695172-155697529","DAP3","_APOPTOSIS","none","0.276612054136679","NM_001199849","nA","-",0,0,0.16244625871646,0.0693244361427662
"NaN","unknown","chr1:155742856-155747611","unkn","_APOPTOSIS","none","nA","NM_001037533","nA","+",0,0,0.16244625871646,0.103986654214149
"NaN","hsa_circ_0014632","chr1:155764840-155784240","unkn","_APOPTOSIS","none","0.990562690636704","NM_001037533","nA","+",0,0,0.24366938807469,0
"NaN","unknown","chr1:155783424-155784240","unkn","_APOPTOSIS","none","nA","NM_001037533","nA","+",0,0,0.16244625871646,0
"NaN","hsa_circ_0000139","chr1:155823066-155823597","unkn","_APOPTOSIS","none","0.861310340876815","NM_001037533","nA","-",0.0762211621044236,0,1.54323945780637,0.346622180713831
"Ras_like_without_CAAX_1_","hsa_circ_0006575","chr1:155874101-155874595","RIT1","_PI3K_AKT_MTOR_SIGNALING","none","0.224234951896978","NM_001256821","nA","-",0,0,0.16244625871646,0.138648872285532
"KH_domain_containing_4__pre-mRNA_splicing_factor_","hsa_circ_0008998","chr1:155891165-155891709","KHDC4","_PI3K_AKT_MTOR_SIGNALING","none","0.150987135567046","NM_014949","nA","+",0,0,1.13712381101522,0.138648872285532
"KH_domain_containing_4__pre-mRNA_splicing_factor_","hsa_circ_0000140","chr1:155891165-155895634","KHDC4","_PI3K_AKT_MTOR_SIGNALING","none","0.961632890121873","NM_014949","nA","+",0,0,0.16244625871646,0.138648872285532
"KH_domain_containing_4__pre-mRNA_splicing_factor_","hsa_circ_0008339","chr1:155896466-155896947","KHDC4","_PI3K_AKT_MTOR_SIGNALING","none","0.000324478038909988","NM_014949","nA","+",0,0,1.13712381101522,0.381284398785214
"myocyte_enhancer_factor_2D_","hsa_circ_0014737","chr1:156444899-156446994","MEF2D","_MYOGENESIS","none","0.169574878825516","NM_001271629","nA","+",0,0,0,0.103986654214149
"Rho_guanine_nucleotide_exchange_factor_11_","hsa_circ_0014815","chr1:156921364-156925591","ARHGEF11","_MITOTIC_SPINDLE","none","0.00379694473829862","NM_014784","nA","+",0,0,0,0.103986654214149
"caspase_9_","hsa_circ_0010039","chr1:15844604-15844890","CASP9","_APOPTOSIS","none","0.272579930176626","NM_001229","nA","+",0,0,0.16244625871646,0
"DnaJ_heat_shock_protein_family_(Hsp40)_member_C16_","hsa_circ_0000018","chr1:15860731-15863309","DNAJC16","_APOPTOSIS","none","0.114006494464695","NM_015291","nA","-",0,0,0.16244625871646,0
"DNA_damage_inducible_1_homolog_2_","hsa_circ_0000019","chr1:15964801-15970145","DDI2","_APOPTOSIS","none","0.177239176357408","NM_032341","nA","+",0.0762211621044236,0,0.40611564679115,0.173311090356915
"DNA_damage_inducible_1_homolog_2_","hsa_circ_0000020","chr1:15964801-15978390","DDI2","_APOPTOSIS","none","0.93716169145578","NM_032341","nA","+",0,0,0.40611564679115,0.0693244361427662
"coatomer_protein_complex_subunit_alpha_","hsa_circ_0008661","chr1:160293220-160302347","COPA","_EPITHELIAL_MESENCHYMAL_TRANSITION","none","0.430965168883796","NM_001098398","nA","-",0.114331743156635,0.157782379179458,1.21834694037345,0.311959962642448
"pleckstrin_homology_and_RUN_domain_containing_M2_","hsa_circ_0000021","chr1:16044387-16047883","PLEKHM2","_APOPTOSIS","none","0.632142462342445","NM_015164","nA","-",0,0,0.24366938807469,0.173311090356915
"pleckstrin_homology_and_RUN_domain_containing_M2_","hsa_circ_0002733","chr1:16046228-16047883","PLEKHM2","_UV_RESPONSE_DN","none","0.634536251099944","NM_015164","nA","-",0,0,0,0.0693244361427662
"activating_transcription_factor_6_","hsa_circ_0003039","chr1:161748033-161753886","ATF6","_UNFOLDED_PROTEIN_RESPONSE","none","0.0940829673007167","NM_007348","nA","-",0,0,0.64978503486584,0.173311090356915
"activating_transcription_factor_6_","hsa_circ_0008857","chr1:161816238-161833102","ATF6","_UNFOLDED_PROTEIN_RESPONSE","none","0.693387448166572","NM_007348","nA","-",0,0,0.974677552298761,0.103986654214149
"activating_transcription_factor_6_","unknown","chr1:161816238-161882170","ATF6","_UNFOLDED_PROTEIN_RESPONSE","none","nA","NM_007348","nA","-",0,0,0.16244625871646,0
"spen_family_transcriptional_repressor_","hsa_circ_0010113","chr1:16237595-16242774","SPEN","_APOPTOSIS","none","0.264145091409675","NM_015001","nA","-",0,0,0.16244625871646,0
"Rho_guanine_nucleotide_exchange_factor_19_","hsa_circ_0003567","chr1:16528276-16529069","ARHGEF19","_UV_RESPONSE_DN","none","0.922889952930873","NM_153213","nA","+",0,0,0,0.138648872285532
"uridine-cytidine_kinase_2_","hsa_circ_0006758","chr1:165859440-165860559","UCK2","_G2M_CHECKPOINT","none","0.0222179122622326","NM_012474","nA","-",0,0,0.16244625871646,0.207973308428299
"uridine-cytidine_kinase_2_","hsa_circ_0008054","chr1:165859440-165865569","UCK2","_G2M_CHECKPOINT","none","0.0546690122888581","NM_012474","nA","-",0,0,0.16244625871646,0
"transcriptional_adaptor_1_","unknown","chr1:166831439-166833158","TADA1","_G2M_CHECKPOINT","none","nA","NM_053053","nA","-",0,0,0.24366938807469,0
"RCSD_domain_containing_1_","unknown","chr1:167653136-167659357","RCSD1","_G2M_CHECKPOINT","none","nA","NM_052862","nA","-",0,0,0,0.138648872285532
"RCSD_domain_containing_1_","unknown","chr1:167659285-167663539","RCSD1","_G2M_CHECKPOINT","none","nA","NM_052862","nA","+",0,0,0,0.103986654214149
"myelin_protein_zero_like_1_","hsa_circ_0015107","chr1:167734819-167742605","MPZL1","_APICAL_JUNCTION","none","0.434997933020366","NM_001146191","nA","+",0,0,0.24366938807469,0.138648872285532
"myelin_protein_zero_like_1_","hsa_circ_0000153","chr1:167734819-167745403","MPZL1","_APICAL_JUNCTION","none","0.635500290562659","NM_001146191","nA","+",0.0762211621044236,0,0.32489251743292,0.207973308428299
"DDB1_and_CUL4_associated_factor_6_","hsa_circ_0000154","chr1:167921037-167944253","DCAF6","_EPITHELIAL_MESENCHYMAL_TRANSITION","none","0.00993335586034812","NM_001017977","nA","-",0,0.105188252786305,0.812231293582301,0.346622180713831
"DDB1_and_CUL4_associated_factor_6_","hsa_circ_0009109","chr1:167935866-167944253","DCAF6","_APICAL_JUNCTION","none","0.0644621002778409","NM_001017977","nA","-",0,0,0.40611564679115,0.381284398785214
"G_protein-coupled_receptor_161_","hsa_circ_0015136","chr1:168073714-168074132","GPR161","_APICAL_JUNCTION","none","0.968831011646811","NM_001267612","nA","+",0,0,0,0.0693244361427662
"proline_rich_coiled-coil_2C_","hsa_circ_0015207","chr1:171491315-171492661","PRRC2C","_APICAL_JUNCTION","none","0.640364952826254","NM_015172","nA","+",0,0,0.32489251743292,0
"proline_rich_coiled-coil_2C_","hsa_circ_0003644","chr1:171492359-171496983","PRRC2C","_APICAL_JUNCTION","none","0.524158832136651","NM_015172","nA","-",0,0,0.48733877614938,0.346622180713831
"proline_rich_coiled-coil_2C_","hsa_circ_0004412","chr1:171537385-171544267","PRRC2C","_APICAL_JUNCTION","none","0.495700529221166","NM_015172","nA","+",0.0762211621044236,0,1.86813197523929,0.623919925284896
"proline_rich_coiled-coil_2C_","hsa_circ_0015243","chr1:171548492-171556890","PRRC2C","_APICAL_JUNCTION","none","0.995485500812793","NM_015172","nA","-",0,0,0.24366938807469,0
"G_protein_subunit_beta_1_","hsa_circ_0009343","chr1:1721833-1722035","GNB1","_APICAL_JUNCTION","none","0.268142245940327","NM_001282538","nA","+",0,0,0,0.0693244361427662
"G_protein_subunit_beta_1_","unknown","chr1:1724683-1747301","GNB1","_APICAL_JUNCTION","none","nA","NM_001282538","nA","+",0,0,0,0.0693244361427662
"G_protein_subunit_beta_1_","hsa_circ_0009349","chr1:1724683-1749314","GNB1","_HEME_METABOLISM","none","0.82729336746565","NM_001282538","nA","+",0,0,0.16244625871646,0.0693244361427662
"SUN_domain_containing_ossification_factor_","hsa_circ_0000160","chr1:172520651-172526934","SUCO","_APICAL_JUNCTION","none","0.0120106036452454","NM_014283","nA","-",0,0,0.16244625871646,0.173311090356915
"SUN_domain_containing_ossification_factor_","hsa_circ_0015259","chr1:172520651-172539870","SUCO","_APICAL_JUNCTION","none","0.219839280435702","NM_014283","nA","-",0.495437553678753,0,0.32489251743292,0
"SUN_domain_containing_ossification_factor_","hsa_circ_0015262","chr1:172525008-172526934","SUCO","_APICAL_JUNCTION","none","0.0045490232830177","NM_014283","nA","+",0,0,0,0.173311090356915
"G_protein_subunit_beta_1_","hsa_circ_0000007","chr1:1735857-1737977","GNB1","none","none","0.182408032664146","NM_001282538","nA","+",0,0.105188252786305,0.64978503486584,0.138648872285532
"G_protein_subunit_beta_1_","hsa_circ_0009353","chr1:1735857-1749314","GNB1","_HEME_METABOLISM","none","0.714018866206455","NM_001282538","nA","-",0,0,1.94935510459752,0.381284398785214
"G_protein_subunit_beta_1_","hsa_circ_0006869","chr1:1735857-1756938","GNB1","_HEME_METABOLISM","none","0.934151001476257","NM_001282538","nA","-",0,0,0.40611564679115,0.173311090356915
